"X","TLID","STATEFP","COUNTYFP","TFIDL","TFIDR","MTFCC","FULLNAME","SMID","LFROMADD","LTOADD","RFROMADD","RTOADD","ZIPL","ZIPR","Length","CLASS","RDTYPE","Main","DeadEnd","Cluster","unit_N","unit_N_orig","property_N","parcel_N","BG_ID_10","CT_ID_10"
8204,636950101,25,25,259955785,205872208,"S1400","Spurr St",2758,"92","98","11","99",2134,2134,9.44,5,5,0,0,0,0,0,0,0,250250001001,25025000100
8205,85735877,25,25,205872209,205872209,"S1400"," ",2758," "," "," "," ",0,0,43.36,5,5,0,0,0,0,0,0,0,250250001003,25025000100
8206,85695433,25,25,205872221,205872209,"S1400","Franklin St",2758,"110","114","99","103",2134,2134,38.02,5,5,0,0,2,11,11,3,3,250250001003,25025000100
8207,85695427,25,25,259955786,205872210,"S1400","Raymond St",2758,"88","98","47","99",2134,2134,34.71,5,5,0,0,2,4,4,2,2,250250001002,25025000100
8208,85695405,25,25,205872214,205872213,"S1400","N Harvard St",2758,"224","258","227","243",2134,2134,113.51,4,4,1,0,1,17,17,6,6,250250008024,25025000802
8209,85721506,25,25,262462920,205872216,"S1400","Hague St",2758," "," "," "," ",0,0,78.51,5,5,0,0,0,0,0,0,0,250250008031,25025000803
8210,85695472,25,25,205872233,205872220,"S1400","Coolidge Rd",2758,"2","10","1","13",2134,2134,63.33,5,5,0,0,0,0,0,0,0,250250001003,25025000100
8211,85695466,25,25,205872230,205872220,"S1400","Coolidge Rd",2758,"48","98","47","55",2134,2134,49.22,5,5,0,0,4,7,7,4,4,250250001003,25025000100
8212,85734610,25,25,259817605,205872224,"S1200","Brighton Ave",2758," "," ","190","174",0,2134,72.28,2,2,1,0,6,41,41,41,2,250250007041,25025000704
8213,85695649,25,25,205872295,205872229,"S1400","Linden St",2758,"40","54","43","57",2134,2134,61.55,5,5,0,0,2,33,33,2,2,250250008021,25025000802
8214,85695474,25,25,262462920,205872233,"S1400","N Harvard St",2758,"292","308","285","307",2134,2134,82.31,4,4,1,0,1,41,10,6,6,250250008024,25025000802
8215,85695725,25,25,205872234,205872237,"S1400","Hooker St",2758,"32","44","27","47",2134,2134,80.31,5,5,0,0,1,32,32,12,12,250250008024,25025000802
8216,85695484,25,25,205872225,205872237,"S1400","Royal St",2758,"2","32","1","21",2134,2134,107.06,5,5,0,0,2,47,36,24,10,250250008024,25025000802
8217,85695524,25,25,226072291,262948987,"S1400","Armington St",2758,"28","98","41","99",2134,2134,58.28,5,5,0,0,0,0,0,0,0,250250006021,25025000602
8218,85734831,25,25,205868921,205872250,"S1400","Scottfield Rd",2758," "," "," "," ",0,0,13.05,5,5,0,0,0,0,0,0,0,250250007012,25025000701
8219,85695551,25,25,205872252,205872252,"S1400","Hollis Pl",2758,"2","98","99","1",2134,2134,69.04,5,5,0,1,1,6,6,2,2,250250007041,25025000704
8220,85722718,25,25,205863972,205872257,"S1400","Harvard Ave",0," "," "," "," ",0,0,8.63,4,4,1,0,0,0,0,0,0,250250007031,25025000703
8221,85721487,25,25,205872253,205872258,"S1400","Kelton St",2758,"164","184","149","165",2134,2134,68.08,5,5,0,0,1,85,85,5,5,250250007015,25025000701
8222,633012887,25,25,257444595,205872261,"S1400","Bellvista Rd",2758,"2","4","1","3",2135,2135,16.02,5,5,0,0,0,0,0,0,0,250250007014,25025000701
8223,85738181,25,25,205872264,205872264,"S1400"," ",2758," "," "," "," ",0,0,26.86,6,6,0,0,0,0,0,0,0,250250005044,25025000504
8224,85727365,25,25,205865916,205872264,"S1400","Egremont Rd",2758,"2","30","1","17",2135,2135,97.06,5,5,0,0,6,45,45,13,4,250250005042,25025000504
8225,85695606,25,25,205874114,205872273,"S1400","Summit Ave",0," "," ","201","281",0,1235,44.5,5,5,0,0,4,4,4,3,3,250250007013,25025000701
8226,85695608,25,25,205872273,205872278,"S1400","Jordan Rd",0," "," ","101","199",0,2135,44.53,5,5,0,1,2,2,2,1,1,250250007013,25025000701
8227,85695610,25,25,205872266,205872278,"S1400","Corey Rd",2758,"254","270","253","277",2135,2135,86.29,5,5,0,0,2,22,22,9,9,250250007014,25025000701
8228,85727184,25,25,258627595,205872280,"S1400"," ",0," "," "," "," ",0,0,15.71,5,5,0,0,0,0,0,0,0,250250007042,25025000704
